pin,sub_district,district,state
110003,Defence Colony,SOUTH EAST DELHI,DELHI
110014,Defence Colony,SOUTH EAST DELHI,DELHI
110020,Defence Colony,SOUTH EAST DELHI,DELHI
110025,Defence Colony,SOUTH EAST DELHI,DELHI
110036,Alipur,NORTH DELHI,DELHI
110039,Narela,NORTH DELHI,DELHI
110040,Narela,NORTH DELHI,DELHI
110042,Alipur,NORTH DELHI,DELHI
110044,Kalkaji,SOUTH EAST DELHI,DELHI
110046,Rajouri Garden,WEST DELHI,DELHI
110049,Defence Colony,SOUTH EAST DELHI,DELHI
110054,Alipur,NORTH DELHI,DELHI
110056,Saraswati Vihar,NORTH WEST DELHI,DELHI
110062,Hauz Khas,SOUTH DELHI,DELHI
110071,Najafgarh,SOUTH WEST DELHI,DELHI
110076,Kalkaji,SOUTH EAST DELHI,DELHI
110085,Rohini,NORTH WEST DELHI,DELHI
110086,Rohini,NORTH WEST DELHI,DELHI
110090,Karawal Nagar,NORTH EAST DELHI,DELHI
121001,Faridabad,FARIDABAD,HARYANA
121002,Faridabad,FARIDABAD,HARYANA
121003,Faridabad,FARIDABAD,HARYANA
121004,Ballabgarh,FARIDABAD,HARYANA
121005,Faridabad,FARIDABAD,HARYANA
121006,Faridabad,FARIDABAD,HARYANA
121007,Faridabad,FARIDABAD,HARYANA
121008,Faridabad,FARIDABAD,HARYANA
121009,Faridabad,FARIDABAD,HARYANA
121010,Faridabad,FARIDABAD,HARYANA
121012,Faridabad,FARIDABAD,HARYANA
121013,Faridabad,FARIDABAD,HARYANA
121101,Faridabad,FARIDABAD,HARYANA
121102,Palwal,FARIDABAD,HARYANA
121103,Hathin,FARIDABAD,HARYANA
121105,Palwal,FARIDABAD,HARYANA
121106,Hodal,FARIDABAD,HARYANA
121107,Hodal,FARIDABAD,HARYANA
122001,Gurgaon,GURGAON,HARYANA
122002,Gurgaon,GURGAON,HARYANA
122003,Gurgaon,GURGAON,HARYANA
122004,Gurgaon,GURGAON,HARYANA
122005,Gurgaon,GURGAON,HARYANA
122006,Gurgaon,GURGAON,HARYANA
122007,Gurgaon,GURGAON,HARYANA
122008,Gurgaon,GURGAON,HARYANA
122009,Gurgaon,GURGAON,HARYANA
122010,Gurgaon,GURGAON,HARYANA
122011,Gurgaon,GURGAON,HARYANA
122015,Gurgaon,GURGAON,HARYANA
122016,Gurgaon,GURGAON,HARYANA
122017,Gurgaon,GURGAON,HARYANA
122018,Gurgaon,GURGAON,HARYANA
122051,Gurgaon,GURGAON,HARYANA
122052,Gurgaon,GURGAON,HARYANA
122101,Gurgaon,GURGAON,HARYANA
122102,Sohna,GURGAON,HARYANA
122103,Sohna,GURGAON,HARYANA
122104,Ferozepur Jhirka,GURGAON,HARYANA
122105,Taoru,GURGAON,HARYANA
122107,Nuh,GURGAON,HARYANA
122108,Ferozepur Jhirka,GURGAON,HARYANA
122413,Gurgaon,GURGAON,HARYANA
122414,Pataudi,GURGAON,HARYANA
122502,Pataudi,GURGAON,HARYANA
122503,Pataudi,GURGAON,HARYANA
122504,Gurgaon,GURGAON,HARYANA
122505,Gurgaon,GURGAON,HARYANA
122506,Gurgaon,GURGAON,HARYANA
122508,Punahana,GURGAON,HARYANA
123001,Narnaul,MAHENDRAGARH,HARYANA
123021,Narnaul,MAHENDRAGARH,HARYANA
123023,Narnaul,MAHENDRAGARH,HARYANA
123024,Mahendragarh,MAHENDRAGARH,HARYANA
123027,Mahendragarh,MAHENDRAGARH,HARYANA
123028,Mahendragarh,MAHENDRAGARH,HARYANA
123029,Mahendragarh,MAHENDRAGARH,HARYANA
123034,Mahendragarh,MAHENDRAGARH,HARYANA
123035,Rewari,REWARI,HARYANA
123101,Rewari,REWARI,HARYANA
123102,Rewari,REWARI,HARYANA
123103,Rewari,REWARI,HARYANA
123106,Rewari,REWARI,HARYANA
123110,Rewari,REWARI,HARYANA
123301,Kosli,REWARI,HARYANA
123302,Kosli,REWARI,HARYANA
123303,Kosli,REWARI,HARYANA
123401,Rewari,REWARI,HARYANA
123411,Rewari,REWARI,HARYANA
123412,Bawal,REWARI,HARYANA
123501,Bawal,REWARI,HARYANA
124001,Rohtak,ROHTAK,HARYANA
124010,Rohtak,ROHTAK,HARYANA
124021,Rohtak,ROHTAK,HARYANA
124022,Maham,ROHTAK,HARYANA
124102,Beri,JHAJJAR,HARYANA
124103,Jhajjar,JHAJJAR,HARYANA
124104,Jhajjar,JHAJJAR,HARYANA
124105,Jhajjar,JHAJJAR,HARYANA
124106,Jhajjar,JHAJJAR,HARYANA
124107,Beri,JHAJJAR,HARYANA
124108,Jhajjar,JHAJJAR,HARYANA
124109,Jhajjar,JHAJJAR,HARYANA
124111,Maham,ROHTAK,HARYANA
124112,Maham,ROHTAK,HARYANA
124113,Rohtak,ROHTAK,HARYANA
124141,Jhajjar,JHAJJAR,HARYANA
124142,Jhajjar,JHAJJAR,HARYANA
124146,Jhajjar,JHAJJAR,HARYANA
124201,Beri,JHAJJAR,HARYANA
124202,Beri,JHAJJAR,HARYANA
124303,Rohtak,ROHTAK,HARYANA
124401,Rohtak,ROHTAK,HARYANA
124404,Rohtak,ROHTAK,HARYANA
124406,Rohtak,ROHTAK,HARYANA
124411,Rohtak,ROHTAK,HARYANA
124412,Rohtak,ROHTAK,HARYANA
124501,Rohtak,ROHTAK,HARYANA
124504,Bahadurgarh,JHAJJAR,HARYANA
124505,Bahadurgarh,JHAJJAR,HARYANA
124506,Bahadurgarh,JHAJJAR,HARYANA
124507,Bahadurgarh,JHAJJAR,HARYANA
124508,Bahadurgarh,JHAJJAR,HARYANA
124513,Maham,ROHTAK,HARYANA
124514,Rohtak,ROHTAK,HARYANA
125001,Hisar,HISAR,HARYANA
125004,Hisar,HISAR,HARYANA
125005,Hisar,HISAR,HARYANA
125006,Hisar,HISAR,HARYANA
125007,Hisar,HISAR,HARYANA
125011,Hisar,HISAR,HARYANA
125033,Hansi,HISAR,HARYANA
125037,Hisar,HISAR,HARYANA
125038,Hansi,HISAR,HARYANA
125039,Narnaund,HISAR,HARYANA
125042,Hansi,HISAR,HARYANA
125044,Hisar,HISAR,HARYANA
125047,Hisar,HISAR,HARYANA
125048,Fatehabad,FATEHABAD,HARYANA
125049,Hansi,HISAR,HARYANA
125050,Fatehabad,FATEHABAD,HARYANA
125051,Ratia,FATEHABAD,HARYANA
125052,Adampur,HISAR,HARYANA
125053,Fatehabad,FATEHABAD,HARYANA
125054,Sirsa,SIRSA,HARYANA
125055,Sirsa,SIRSA,HARYANA
125058,Sirsa,SIRSA,HARYANA
125060,Sirsa,SIRSA,HARYANA
125075,Sirsa,SIRSA,HARYANA
125076,Rania,SIRSA,HARYANA
125077,Sirsa,SIRSA,HARYANA
125078,Sirsa,SIRSA,HARYANA
125101,Dabwali,SIRSA,HARYANA
125102,Ellenabad,SIRSA,HARYANA
125103,Dabwali,SIRSA,HARYANA
125104,Dabwali,SIRSA,HARYANA
125106,Tohana,FATEHABAD,HARYANA
125110,Sirsa,SIRSA,HARYANA
125111,Fatehabad,FATEHABAD,HARYANA
125112,Hisar,HISAR,HARYANA
125113,Hisar,HISAR,HARYANA
125120,Tohana,FATEHABAD,HARYANA
125121,Hisar,HISAR,HARYANA
125133,Tohana,FATEHABAD,HARYANA
125201,Sirsa,SIRSA,HARYANA
126101,Julana,JIND,HARYANA
126102,Jind,JIND,HARYANA
126110,Jind,JIND,HARYANA
126111,Jind,JIND,HARYANA
126112,Safidon,JIND,HARYANA
126113,Safidon,JIND,HARYANA
126114,Jind,JIND,HARYANA
126115,Narwana,JIND,HARYANA
126116,Narwana,JIND,HARYANA
126125,Jind,JIND,HARYANA
126152,Narwana,JIND,HARYANA
127021,Bhiwani,BHIWANI,HARYANA
127022,Dadri,BHIWANI,HARYANA
127025,Dadri,BHIWANI,HARYANA
127026,Dadri,BHIWANI,HARYANA
127027,Bhiwani,BHIWANI,HARYANA
127028,Loharu,BHIWANI,HARYANA
127029,Bhiwani,BHIWANI,HARYANA
127030,Bhiwani,BHIWANI,HARYANA
127031,Bhiwani,BHIWANI,HARYANA
127032,Bawani Khera,BHIWANI,HARYANA
127035,Bawani Khera,BHIWANI,HARYANA
127040,Tosham,BHIWANI,HARYANA
127041,Bhiwani,BHIWANI,HARYANA
127042,Dadri,BHIWANI,HARYANA
127043,Tosham,BHIWANI,HARYANA
127045,Siwani,BHIWANI,HARYANA
127046,Siwani,BHIWANI,HARYANA
127111,Bhiwani,BHIWANI,HARYANA
127114,Bhiwani,BHIWANI,HARYANA
127201,Loharu,BHIWANI,HARYANA
127306,Dadri,BHIWANI,HARYANA
127307,Dadri,BHIWANI,HARYANA
127308,Dadri,BHIWANI,HARYANA
127309,Bhiwani,BHIWANI,HARYANA
127310,Dadri,BHIWANI,HARYANA
127311,Bhiwani,BHIWANI,HARYANA
127312,Dadri,BHIWANI,HARYANA
131001,Sonipat,SONIPAT,HARYANA
131021,Sonipat,SONIPAT,HARYANA
131022,Sonipat,SONIPAT,HARYANA
131023,Sonipat,SONIPAT,HARYANA
131024,Sonipat,SONIPAT,HARYANA
131027,Sonipat,SONIPAT,HARYANA
131028,Sonipat,SONIPAT,HARYANA
131029,Sonipat,SONIPAT,HARYANA
131039,Ganaur,SONIPAT,HARYANA
131101,Ganaur,SONIPAT,HARYANA
131102,Ganaur,SONIPAT,HARYANA
131103,Sonipat,SONIPAT,HARYANA
131301,Gohana,SONIPAT,HARYANA
131302,Gohana,SONIPAT,HARYANA
131304,Gohana,SONIPAT,HARYANA
131305,Gohana,SONIPAT,HARYANA
131306,Gohana,SONIPAT,HARYANA
131402,Kharkhoda,SONIPAT,HARYANA
131403,Sonipat,SONIPAT,HARYANA
131408,Kharkhoda,SONIPAT,HARYANA
131409,Gohana,SONIPAT,HARYANA
132001,Karnal,KARNAL,HARYANA
132022,Karnal,KARNAL,HARYANA
132023,Karnal,KARNAL,HARYANA
132024,Karnal,KARNAL,HARYANA
132036,Karnal,KARNAL,HARYANA
132037,Karnal,KARNAL,HARYANA
132039,Assandh,KARNAL,HARYANA
132040,Gharaunda,KARNAL,HARYANA
132041,Indri,KARNAL,HARYANA
132046,Assandh,KARNAL,HARYANA
132054,Indri,KARNAL,HARYANA
132101,Samalkha,PANIPAT,HARYANA
132102,Samalkha,PANIPAT,HARYANA
132103,Panipat,PANIPAT,HARYANA
132104,Samalkha,PANIPAT,HARYANA
132105,Panipat,PANIPAT,HARYANA
132106,Panipat,PANIPAT,HARYANA
132107,Israna,PANIPAT,HARYANA
132108,Panipat,PANIPAT,HARYANA
132113,Panipat,PANIPAT,HARYANA
132114,Gharaunda,KARNAL,HARYANA
132115,Samalkha,PANIPAT,HARYANA
132116,Nilokheri,KARNAL,HARYANA
132117,Nilokheri,KARNAL,HARYANA
132122,Samalkha,PANIPAT,HARYANA
132140,Panipat,PANIPAT,HARYANA
132145,Israna,PANIPAT,HARYANA
132157,Nilokheri,KARNAL,HARYANA
133001,Ambala,AMBALA,HARYANA
133004,Ambala,AMBALA,HARYANA
133005,Ambala,AMBALA,HARYANA
133006,Ambala,AMBALA,HARYANA
133101,Ambala,AMBALA,HARYANA
133102,Ambala,AMBALA,HARYANA
133103,Jagadhri,YAMUNA NAGAR,HARYANA
133104,Ambala,AMBALA,HARYANA
133201,Barara,AMBALA,HARYANA
133202,Barara,AMBALA,HARYANA
133203,Barara,AMBALA,HARYANA
133204,Jagadhri,YAMUNA NAGAR,HARYANA
133205,Barara,AMBALA,HARYANA
133206,Jagadhri,YAMUNA NAGAR,HARYANA
133207,Ambala,AMBALA,HARYANA
133301,Ambala,AMBALA,HARYANA
133302,Kalka,PANCHKULA,HARYANA
134003,Ambala,AMBALA,HARYANA
134007,Ambala,AMBALA,HARYANA
134008,Ambala,AMBALA,HARYANA
134101,Kalka,PANCHKULA,HARYANA
134102,Panchkula,PANCHKULA,HARYANA
134103,Panchkula,PANCHKULA,HARYANA
134104,Kalka,PANCHKULA,HARYANA
134107,Panchkula,PANCHKULA,HARYANA
134108,Panchkula,PANCHKULA,HARYANA
134109,Panchkula,PANCHKULA,HARYANA
134112,Panchkula,PANCHKULA,HARYANA
134113,Panchkula,PANCHKULA,HARYANA
134114,Panchkula,PANCHKULA,HARYANA
134116,Ambala,AMBALA,HARYANA
134117,Panchkula,PANCHKULA,HARYANA
134118,Panchkula,PANCHKULA,HARYANA
134201,Naraingarh,AMBALA,HARYANA
134202,Naraingarh,AMBALA,HARYANA
134203,Naraingarh,AMBALA,HARYANA
134204,Panchkula,PANCHKULA,HARYANA
134205,Panchkula,PANCHKULA,HARYANA
135001,Jagadhri,YAMUNA NAGAR,HARYANA
135002,Jagadhri,YAMUNA NAGAR,HARYANA
135003,Jagadhri,YAMUNA NAGAR,HARYANA
135004,Jagadhri,YAMUNA NAGAR,HARYANA
135021,Chhachhrauli,YAMUNA NAGAR,HARYANA
135101,Jagadhri,YAMUNA NAGAR,HARYANA
135102,Jagadhri,YAMUNA NAGAR,HARYANA
135103,Chhachhrauli,YAMUNA NAGAR,HARYANA
135106,Chhachhrauli,YAMUNA NAGAR,HARYANA
135133,Jagadhri,YAMUNA NAGAR,HARYANA
136020,Kaithal,KAITHAL,HARYANA
136021,Kaithal,KAITHAL,HARYANA
136026,Kaithal,KAITHAL,HARYANA
136027,Kaithal,KAITHAL,HARYANA
136030,Pehowa,KURUKSHETRA,HARYANA
136033,Guhla,KAITHAL,HARYANA
136034,Guhla,KAITHAL,HARYANA
136035,Guhla,KAITHAL,HARYANA
136038,Thanesar,KURUKSHETRA,HARYANA
136042,Kaithal,KAITHAL,HARYANA
136043,Kaithal,KAITHAL,HARYANA
136044,Kaithal,KAITHAL,HARYANA
136117,Kaithal,KAITHAL,HARYANA
136118,Thanesar,KURUKSHETRA,HARYANA
136119,Thanesar,KURUKSHETRA,HARYANA
136128,Pehowa,KURUKSHETRA,HARYANA
136129,Pehowa,KURUKSHETRA,HARYANA
136130,Thanesar,KURUKSHETRA,HARYANA
136131,Thanesar,KURUKSHETRA,HARYANA
136132,Thanesar,KURUKSHETRA,HARYANA
136135,Shahbad,KURUKSHETRA,HARYANA
136136,Shahbad,KURUKSHETRA,HARYANA
136156,Thanesar,KURUKSHETRA,HARYANA
140001,Rupnagar,RUPNAGAR,PUNJAB
140101,Rupnagar,RUPNAGAR,PUNJAB
140102,Rupnagar,RUPNAGAR,PUNJAB
140103,Kharar,RUPNAGAR,PUNJAB
140108,Rupnagar,RUPNAGAR,PUNJAB
140109,Kharar,RUPNAGAR,PUNJAB
140110,Kharar,RUPNAGAR,PUNJAB
140111,Rupnagar,RUPNAGAR,PUNJAB
140112,Rupnagar,RUPNAGAR,PUNJAB
140113,Rupnagar,RUPNAGAR,PUNJAB
140114,Rupnagar,RUPNAGAR,PUNJAB
140115,Anandpur Sahib,RUPNAGAR,PUNJAB
140116,Anandpur Sahib,RUPNAGAR,PUNJAB
140117,Anandpur Sahib,RUPNAGAR,PUNJAB
140118,Anandpur Sahib,RUPNAGAR,PUNJAB
140119,Anandpur Sahib,RUPNAGAR,PUNJAB
140123,Anandpur Sahib,RUPNAGAR,PUNJAB
140124,Anandpur Sahib,RUPNAGAR,PUNJAB
140125,Anandpur Sahib,RUPNAGAR,PUNJAB
140126,Anandpur Sahib,RUPNAGAR,PUNJAB
140133,Anandpur Sahib,RUPNAGAR,PUNJAB
140201,Dera Bassi,PATIALA,PUNJAB
140301,Kharar,RUPNAGAR,PUNJAB
140306,S.A.S.Nagar (Mohali),RUPNAGAR,PUNJAB
140307,Kharar,RUPNAGAR,PUNJAB
140308,S.A.S.Nagar (Mohali),RUPNAGAR,PUNJAB
140401,Rajpura,PATIALA,PUNJAB
140402,Rajpura,PATIALA,PUNJAB
140405,Fatehgarh Sahib,FATEHGARH SAHIB,PUNJAB
140406,Fatehgarh Sahib,FATEHGARH SAHIB,PUNJAB
140407,Amloh (P),FATEHGARH SAHIB,PUNJAB
140408,Fatehgarh Sahib,FATEHGARH SAHIB,PUNJAB
140412,Bassi Pathana,FATEHGARH SAHIB,PUNJAB
140413,Kharar,RUPNAGAR,PUNJAB
140417,Rajpura,PATIALA,PUNJAB
140501,Dera Bassi,PATIALA,PUNJAB
140506,Dera Bassi,PATIALA,PUNJAB
140507,Dera Bassi,PATIALA,PUNJAB
140601,Rajpura,PATIALA,PUNJAB
140602,Rajpura,PATIALA,PUNJAB
140603,Rajpura,RUPNAGAR,PUNJAB
140604,Dera Bassi,PATIALA,PUNJAB
140701,Rajpura,PATIALA,PUNJAB
140702,Rajpura,PATIALA,PUNJAB
140802,Khamanon,FATEHGARH SAHIB,PUNJAB
140901,Kharar,RUPNAGAR,PUNJAB
141001,Ludhiana (East),LUDHIANA,PUNJAB
141002,Ludhiana (East),LUDHIANA,PUNJAB
141003,Ludhiana (East),LUDHIANA,PUNJAB
141004,Ludhiana (East),LUDHIANA,PUNJAB
141006,Ludhiana (East),LUDHIANA,PUNJAB
141007,Ludhiana (East),LUDHIANA,PUNJAB
141008,Ludhiana (West),LUDHIANA,PUNJAB
141010,Ludhiana (East),LUDHIANA,PUNJAB
141012,Ludhiana (East),LUDHIANA,PUNJAB
141013,Ludhiana (East),LUDHIANA,PUNJAB
141014,Ludhiana (East),LUDHIANA,PUNJAB
141015,Ludhiana (East),LUDHIANA,PUNJAB
141016,Ludhiana (West),LUDHIANA,PUNJAB
141017,Ludhiana (East),LUDHIANA,PUNJAB
141101,Ludhiana (West),LUDHIANA,PUNJAB
141102,Ludhiana (West),LUDHIANA,PUNJAB
141103,Ludhiana (West),LUDHIANA,PUNJAB
141104,Raikot,LUDHIANA,PUNJAB
141105,Raikot,LUDHIANA,PUNJAB
141106,Raikot,LUDHIANA,PUNJAB
141107,Raikot,LUDHIANA,PUNJAB
141108,Raikot,LUDHIANA,PUNJAB
141109,Raikot,LUDHIANA,PUNJAB
141110,Jagraon,LUDHIANA,PUNJAB
141112,Ludhiana (East),LUDHIANA,PUNJAB
141113,Ludhiana (East),LUDHIANA,PUNJAB
141114,Samrala,LUDHIANA,PUNJAB
141115,Samrala,LUDHIANA,PUNJAB
141116,Ludhiana (West),LUDHIANA,PUNJAB
141117,Payal,LUDHIANA,PUNJAB
141118,Ludhiana (East),LUDHIANA,PUNJAB
141119,Payal,LUDHIANA,PUNJAB
141120,Ludhiana (East),LUDHIANA,PUNJAB
141121,Samrala,LUDHIANA,PUNJAB
141122,Ludhiana (West),LUDHIANA,PUNJAB
141123,Ludhiana (East),LUDHIANA,PUNJAB
141125,Samrala,LUDHIANA,PUNJAB
141126,Ludhiana (East),LUDHIANA,PUNJAB
141127,Ludhiana (East),LUDHIANA,PUNJAB
141201,Ludhiana (East),LUDHIANA,PUNJAB
141202,Ludhiana (West),LUDHIANA,PUNJAB
141203,Ludhiana (West),LUDHIANA,PUNJAB
141204,Ludhiana (West),LUDHIANA,PUNJAB
141205,Raikot,LUDHIANA,PUNJAB
141206,Ludhiana (East),LUDHIANA,PUNJAB
141401,Khanna,LUDHIANA,PUNJAB
141411,Khamanon,FATEHGARH SAHIB,PUNJAB
141412,Samrala,LUDHIANA,PUNJAB
141413,Payal,LUDHIANA,PUNJAB
141414,Khanna,LUDHIANA,PUNJAB
141415,Payal,LUDHIANA,PUNJAB
141416,Payal,LUDHIANA,PUNJAB
141417,Samrala,LUDHIANA,PUNJAB
141418,Samrala,LUDHIANA,PUNJAB
141419,Payal,LUDHIANA,PUNJAB
141421,Payal,LUDHIANA,PUNJAB
141422,Raikot,LUDHIANA,PUNJAB
141801,Khamanon,FATEHGARH SAHIB,PUNJAB
142001,Moga,MOGA,PUNJAB
142002,Moga,MOGA,PUNJAB
142003,Moga,MOGA,PUNJAB
142011,Moga,MOGA,PUNJAB
142021,Ludhiana (West),LUDHIANA,PUNJAB
142022,Ludhiana (West),LUDHIANA,PUNJAB
142023,Jagraon,LUDHIANA,PUNJAB
142024,Jagraon,LUDHIANA,PUNJAB
142025,Jagraon,LUDHIANA,PUNJAB
142026,Jagraon,LUDHIANA,PUNJAB
142027,Ludhiana (West),LUDHIANA,PUNJAB
142028,Ludhiana (West),LUDHIANA,PUNJAB
142029,Ludhiana (West),LUDHIANA,PUNJAB
142030,Jagraon,LUDHIANA,PUNJAB
142031,Jagraon,LUDHIANA,PUNJAB
142032,Raikot,LUDHIANA,PUNJAB
142033,Jagraon,LUDHIANA,PUNJAB
142034,Jagraon,LUDHIANA,PUNJAB
142035,Jagraon,LUDHIANA,PUNJAB
142036,Jagraon,LUDHIANA,PUNJAB
142037,Nihal Singhwala,MOGA,PUNJAB
142038,Bhagha Purana,MOGA,PUNJAB
142039,Nihal Singhwala,MOGA,PUNJAB
142040,Moga,MOGA,PUNJAB
142041,Moga,MOGA,PUNJAB
142042,Moga,MOGA,PUNJAB
142043,Moga,MOGA,PUNJAB
142044,Zira,FIROZPUR,PUNJAB
142045,Nihal Singhwala,MOGA,PUNJAB
142046,Nihal Singhwala,MOGA,PUNJAB
142047,Zira,FIROZPUR,PUNJAB
142048,Moga,MOGA,PUNJAB
142049,Bhagha Purana,MOGA,PUNJAB
142050,Zira,FIROZPUR,PUNJAB
142052,Firozepur,FIROZPUR,PUNJAB
142053,Moga,MOGA,PUNJAB
142054,Moga,MOGA,PUNJAB
142055,Nihal Singhwala,MOGA,PUNJAB
142056,Nihal Singhwala,MOGA,PUNJAB
142057,Bhagha Purana,MOGA,PUNJAB
142058,Moga,MOGA,PUNJAB
142060,Firozepur,FIROZPUR,PUNJAB
143001,Amritsar -I,AMRITSAR,PUNJAB
143002,Amritsar -I,AMRITSAR,PUNJAB
143005,Amritsar -I,AMRITSAR,PUNJAB
143006,Amritsar -I,AMRITSAR,PUNJAB
143008,Amritsar- II,AMRITSAR,PUNJAB
143009,Amritsar- II,AMRITSAR,PUNJAB
143022,Amritsar- II,AMRITSAR,PUNJAB
143101,Ajnala,AMRITSAR,PUNJAB
143102,Ajnala,AMRITSAR,PUNJAB
143103,Ajnala,AMRITSAR,PUNJAB
143105,Amritsar- II,AMRITSAR,PUNJAB
143107,Amritsar- II,AMRITSAR,PUNJAB
143108,Amritsar- II,AMRITSAR,PUNJAB
143109,Ajnala,AMRITSAR,PUNJAB
143111,Baba Bakala,AMRITSAR,PUNJAB
143112,Baba Bakala,AMRITSAR,PUNJAB
143113,Amritsar -I,AMRITSAR,PUNJAB
143114,Baba Bakala,AMRITSAR,PUNJAB
143115,Amritsar -I,AMRITSAR,PUNJAB
143116,Baba Bakala,AMRITSAR,PUNJAB
143117,Khadoor Sahib,TARN TARAN,PUNJAB
143118,Khadoor Sahib,TARN TARAN,PUNJAB
143119,Baba Bakala,AMRITSAR,PUNJAB
143149,Amritsar -I,AMRITSAR,PUNJAB
143201,Baba Bakala,AMRITSAR,PUNJAB
143202,Baba Bakala,AMRITSAR,PUNJAB
143203,Baba Bakala,AMRITSAR,PUNJAB
143204,Baba Bakala,AMRITSAR,PUNJAB
143205,Baba Bakala,AMRITSAR,PUNJAB
143301,TARN-TARAN,TARN TARAN,PUNJAB
143302,TARN-TARAN,TARN TARAN,PUNJAB
143303,Patti,TARN TARAN,PUNJAB
143304,Patti,TARN TARAN,PUNJAB
143305,Patti,TARN TARAN,PUNJAB
143401,TARN-TARAN,TARN TARAN,PUNJAB
143402,TARN-TARAN,TARN TARAN,PUNJAB
143406,Khadoor Sahib,TARN TARAN,PUNJAB
143407,Khadoor Sahib,TARN TARAN,PUNJAB
143408,TARN-TARAN,TARN TARAN,PUNJAB
143409,TARN-TARAN,TARN TARAN,PUNJAB
143410,TARN-TARAN,TARN TARAN,PUNJAB
143411,TARN-TARAN,TARN TARAN,PUNJAB
143412,Patti,TARN TARAN,PUNJAB
143413,Amritsar- II,AMRITSAR,PUNJAB
143414,TARN-TARAN,TARN TARAN,PUNJAB
143415,TARN-TARAN,TARN TARAN,PUNJAB
143416,Patti,TARN TARAN,PUNJAB
143419,Patti,TARN TARAN,PUNJAB
143422,Khadoor Sahib,TARN TARAN,PUNJAB
143501,Amritsar- II,AMRITSAR,PUNJAB
143502,Amritsar -I,AMRITSAR,PUNJAB
143504,Amritsar -I,AMRITSAR,PUNJAB
143505,Batala,GURDASPUR,PUNJAB
143506,Batala,GURDASPUR,PUNJAB
143507,Batala,GURDASPUR,PUNJAB
143511,Batala,GURDASPUR,PUNJAB
143512,Gurdaspur,GURDASPUR,PUNJAB
143513,Batala,GURDASPUR,PUNJAB
143514,Batala,GURDASPUR,PUNJAB
143515,Batala,GURDASPUR,PUNJAB
143516,Batala,GURDASPUR,PUNJAB
143517,Gurdaspur,GURDASPUR,PUNJAB
143518,Gurdaspur,GURDASPUR,PUNJAB
143519,Gurdaspur,GURDASPUR,PUNJAB
143520,Gurdaspur,GURDASPUR,PUNJAB
143521,Gurdaspur,GURDASPUR,PUNJAB
143525,Gurdaspur,GURDASPUR,PUNJAB
143526,Gurdaspur,GURDASPUR,PUNJAB
143527,Batala,GURDASPUR,PUNJAB
143528,Gurdaspur,GURDASPUR,PUNJAB
143529,Gurdaspur,GURDASPUR,PUNJAB
143530,Gurdaspur,GURDASPUR,PUNJAB
143531,Gurdaspur,GURDASPUR,PUNJAB
143532,Gurdaspur,GURDASPUR,PUNJAB
143533,Gurdaspur,GURDASPUR,PUNJAB
143534,Pathankot,Pathankot,PUNJAB
143601,Amritsar -I,AMRITSAR,PUNJAB
143602,Batala,GURDASPUR,PUNJAB
143603,Ajnala,AMRITSAR,PUNJAB
143604,Dera Baba Nanak,GURDASPUR,PUNJAB
143605,Dera Baba Nanak,GURDASPUR,PUNJAB
143606,Ajnala,AMRITSAR,PUNJAB
144001,Jalandhar - I,JALANDHAR,PUNJAB
144002,Jalandhar -II,JALANDHAR,PUNJAB
144003,Jalandhar - I,JALANDHAR,PUNJAB
144004,Jalandhar - I,JALANDHAR,PUNJAB
144005,Jalandhar -II,JALANDHAR,PUNJAB
144006,Jalandhar -II,JALANDHAR,PUNJAB
144007,Jalandhar -II,JALANDHAR,PUNJAB
144008,Jalandhar - I,JALANDHAR,PUNJAB
144009,Jalandhar - I,JALANDHAR,PUNJAB
144010,Jalandhar -II,JALANDHAR,PUNJAB
144011,Jalandhar -II,JALANDHAR,PUNJAB
144012,Jalandhar - I,JALANDHAR,PUNJAB
144015,Jalandhar - I,JALANDHAR,PUNJAB
144020,Jalandhar - I,JALANDHAR,PUNJAB
144021,Jalandhar -II,JALANDHAR,PUNJAB
144022,Jalandhar -II,JALANDHAR,PUNJAB
144023,Jalandhar -II,JALANDHAR,PUNJAB
144024,Jalandhar - I,JALANDHAR,PUNJAB
144025,Jalandhar -II,JALANDHAR,PUNJAB
144026,Jalandhar -II,JALANDHAR,PUNJAB
144027,Jalandhar - I,JALANDHAR,PUNJAB
144028,Jalandhar -II,JALANDHAR,PUNJAB
144029,Phillaur,JALANDHAR,PUNJAB
144030,Jalandhar - I,JALANDHAR,PUNJAB
144031,Phillaur,JALANDHAR,PUNJAB
144032,Phillaur,JALANDHAR,PUNJAB
144033,Phillaur,JALANDHAR,PUNJAB
144034,Phillaur,JALANDHAR,PUNJAB
144035,Phillaur,JALANDHAR,PUNJAB
144036,Phillaur,JALANDHAR,PUNJAB
144037,Phillaur,JALANDHAR,PUNJAB
144039,Phillaur,JALANDHAR,PUNJAB
144040,Nakodar,JALANDHAR,PUNJAB
144041,Nakodar,JALANDHAR,PUNJAB
144042,Nakodar,JALANDHAR,PUNJAB
144043,Nakodar,JALANDHAR,PUNJAB
144044,Nakodar,JALANDHAR,PUNJAB
144101,Jalandhar - I,JALANDHAR,PUNJAB
144102,Jalandhar - I,JALANDHAR,PUNJAB
144103,Jalandhar - I,JALANDHAR,PUNJAB
144104,Jalandhar - I,JALANDHAR,PUNJAB
144105,Hoshiarpur,HOSHIARPUR,PUNJAB
